Wteam,Lteam,Wwins,Lwins,Wscores,Lscores,rounds,spread
Villanova,Virginia,20,0,13.77,6.23,10,0.6885
S Methodist,Duke,9,11,9.95,10.05,10,0.4975
Gonzaga,Notre Dame,20,0,12.49,7.51,10,0.6245
Florida St,Arizona,5,15,8.96,11.04,10,0.448
Kansas,Purdue,20,0,14.27,5.73,10,0.7135
Oregon,Louisville,19,1,12.01,7.99,10,0.6005
N Carolina,Butler,20,0,13.27,6.73,10,0.6635
UCLA,Kentucky,7,13,9.28,10.72,10,0.464
