Wteam,Lteam,Wwins,Lwins,Wscores,Lscores,rounds,spread
Villanova,Duke,20,0,12.86,7.14,10,0.643
Gonzaga,Arizona,19,1,11.49,8.51,10,0.5745
Kansas,Oregon,13,7,10.27,9.73,10,0.5135
N Carolina,Kentucky,15,5,10.9,9.1,10,0.545
