season,team,sos
2008,Morgan St ,1.9
2008,LA Tech ,1.9
2008,Central Ark ,1.8
2008,E Kentucky ,1.7
2008,Hampton ,1.7
2008,Monmouth ,1.7
2008,Morehead St ,1.7
2008,Lehigh ,1.6
2008,LIU-Brooklyn ,1.6
2008,Charl South ,1.6
2008, ,1.5
2008,Columbia ,1.5
2008,Quinnipiac ,1.5
2008,N Hampshire ,1.5
2008,Northern Michigan ,1.5
2008,Emory & Henry ,1.4
2008,Citadel ,1.3
2008,Navy ,1.3
2008,St Fran (NY) ,1.3
2008,Sac State ,1.3
2008,F Dickinson ,1.3
2008,Samford ,1.3
2008,U Penn ,1.2
2008,Fla Gulf Cst ,1.2
2008,Suffolk ,1.2
2008,E Illinois ,1.1
2008,Campbell ,1.0
2008,Mercer ,1.0
2008,Covenant ,1.0
2008,Stony Brook ,1.0
2008,SE Missouri ,0.8
2008,Dillard ,0.8
2008,Hope ,0.8
2008,Savannah St ,0.8
2008,Wagner ,0.7
2008,Stetson ,0.7
2008,UC Santa Cruz ,0.6
2008,La Verne ,0.6
2008,St Fran (PA) ,0.6
2008,Southern Virginia ,0.6
2008,NC Central ,0.5
2008,Maine ,0.5
2008,Dartmouth ,0.5
2008,NJIT ,0.4
2008,Delaware St ,0.3
2008,Simpson University(CA) ,0.3
2008,Southeastern College ,0.2
2008, ,0.2
2008, ,0.2
2008, ,0.1
2008,Tuskegee ,-0.2
2008,Stillman ,-0.2
2008,Kennesaw St ,-0.3
2008,Southern-New Orleans ,-0.3
2008,Jksnville St ,-0.4
2008,N Florida ,-0.5
2008,Longwood ,-0.5
2008,TX-Pan Am ,-0.6
2008, ,-0.6
2008,Carver Bible College ,-0.8
2008,Berry College ,-0.9
2008,Tennessee Temple ,-0.9
2008, ,-0.9
2008,Wiley ,-1.1
2008, ,-1.1
2008,Warner Southern ,-1.3
2008,Allen ,-1.5
2008,NC A&T ,-1.5
2008,Howard ,-1.6
2008,Edward Waters ,-1.6
2008,Nova Southeastern ,-1.6
2008, ,-1.6
2008,Coppin State ,-1.7
2008,Fisher ,-1.8
2008,Ferrum ,-1.9
2008,Alabama St ,-2.0
2008,Norfolk St ,-2.0
2008,William Jessup ,-2.0
2008,Simpson College ,-2.0
2008,S Car State ,-2.2
2008,Florida A&M ,-2.4
2008,Webber ,-2.4
2008, ,-2.4
2008,Jackson St ,-2.5
2008, ,-2.5
2008,Maryland ES ,-2.7
2008,TX Southern ,-2.7
2008,Schreiner ,-2.7
2008,Washington Adventist ,-2.7
2008,Wins-Salem ,-2.8
2008,Texas College ,-3.1
2008,Miss Val St ,-3.1
2008,Beth-Cook ,-3.3
2008,Central Baptist ,-3.4
2008,Southern ,-3.5
2008,Tiffin ,-3.7
2008,Alcorn State ,-3.9
2008,Montana Tech ,-4.1
2008,Alab A&M ,-4.2
2008,Ark Pine Bl ,-4.2
2008,Prairie View ,-4.3
2008,Warren Wilson ,-4.9
2008,Grambling St ,-5.6
2008,Daniel Webster ,-6.5
2008,Philander Smith ,-7.2
2008,Tougaloo ,-7.4
2008, ,-9.4
2008,Lenoir-Rhyne ,-9.4
2008,Chowan ,-9.4
2008,Ohio Christian ,-10.5
2008, ,-13.5
2008,Florida Christian College ,-18.3
2009, ,26.7
2009,Montana St.-Billings ,23.9
2009,Emporia State ,23.5
2009, ,23.5
2009,Guilford ,22.0
2009,Valley City State ,20.6
2009, ,20.6
2009,Northeastern St. ,20.3
2009, ,20.0
2009,La Roche ,19.2
2009,Vanguard ,18.6
2009,N Carolina ,18.3
2009,Duke ,18.3
2009,Jarvis Christian ,18.1
2009,Connecticut ,18.0
2009,Florida Southern ,17.8
2009,W Virginia ,17.6
2009,Pittsburgh ,17.5
2009,California Baptist ,17.2
2009,John Brown ,17.1
2009,Georgetown ,17.0
2009,Louisville ,16.7
2009,UC San Diego ,16.7
2009,Wake Forest ,16.4
2009,Quincy ,16.4
2009,Kansas ,16.4
2009,Syracuse ,16.3
2009,Michigan St ,16.3
2009,Oklahoma ,16.2
2009,Texas ,16.2
2009,Notre Dame ,16.2
2009,NW Oklahoma State ,16.1
2009,Tennessee ,16.1
2009,Arizona St ,16.0
2009,Oklahoma St ,16.0
2009,Washington ,16.0
2009,Villanova ,15.9
2009,UCLA ,15.9
2009,Arizona ,15.8
2009,Clemson ,15.8
2009,Missouri ,15.7
2009,California ,15.7
2009,Florida St ,15.6
2009,USC ,15.6
2009,Miami (FL) ,15.6
2009,Wash State ,15.6
2009,Memphis ,15.5
2009,Marquette ,15.5
2009,Gonzaga ,15.4
2009,Wingate ,15.3
2009,St. Leo ,15.2
2009,Purdue ,15.2
2009,Michigan ,15.1
2009,Illinois ,15.0
2009,Wisconsin ,14.9
2009,Baylor ,14.9
2009,Rochester College ,14.7
2009,Ohio State ,14.7
2009,Oregon ,14.6
2009,Maryland ,14.6
2009,Virginia ,14.5
2009,Montana Tech ,14.4
2009,Lewis & Clark ,14.4
2009,Cal Lutheran ,14.3
2009,Kentucky ,14.2
2009,Cincinnati ,14.1
2009,Stanford ,14.0
2009, ,14.0
2009, ,14.0
2009,S Florida ,14.0
2009,Kansas St ,13.9
2009,Utah ,13.9
2009,Texas A&M ,13.9
2009,St. Catharine ,13.8
2009,VA Tech ,13.8
2009,Xavier ,13.7
2009, ,13.7
2009,Texas-Tyler ,13.6
2009,Hardin-Simmons ,13.6
2009,Texas Wesleyan ,13.6
2009,Texas Tech ,13.6
2009,Northwestern ,13.6
2009,NC State ,13.5
2009,Howard Payne ,13.5
2009,Minnesota ,13.5
2009,UAB ,13.4
2009,Southern Wesleyan ,13.3
2009,Boston Col ,13.3
2009,Rio Grande ,13.3
2009, ,13.3
2009,Iowa ,13.3
2009,Providence ,13.3
2009,Lincoln ,13.2
2009,BYU ,13.2
2009,Nebraska ,13.2
2009,Florida ,13.1
2009,Seton Hall ,12.9
2009,North Alabama ,12.9
2009,GA Tech ,12.9
2009,Temple ,12.7
2009, ,12.6
2009,Brevard ,12.6
2009,Indiana Northwest ,12.6
2009,Missouri-St.Louis ,12.5
2009,Notre Dame (CA) ,12.3
2009,New Mexico ,12.3
2009,Mississippi ,12.2
2009,Indiana ,12.1
2009,S Carolina ,12.1
2009,UNLV ,12.1
2009,Vanderbilt ,12.1
2009,Penn State ,12.0
2009,Oregon St ,12.0
2009,Millsaps ,11.9
2009, ,11.9
2009,Tulsa ,11.9
2009,LSU ,11.9
2009,TX El Paso ,11.8
2009,South Dakota ,11.8
2009,Pacific (OR) ,11.8
2009,St Johns ,11.8
2009,Texas A&M Kingsville ,11.8
2009,St. Edwards ,11.8
2009, ,11.7
2009,San Diego St ,11.6
2009,Cameron ,11.6
2009,Miss State ,11.5
2009,San Diego Christian ,11.5
2009,Auburn ,11.4
2009,Shenandoah ,11.3
2009,Butler ,11.2
2009,Iowa State ,11.0
2009,DePaul ,10.9
2009,Arkansas ,10.8
2009,Houston ,10.7
2009,Michigan Tech ,10.7
2009,North Dakota ,10.7
2009,Rhode Island ,10.6
2009,St Marys ,10.6
2009,Miami (OH) ,10.6
2009, ,10.5
2009,Alabama ,10.5
2009,Colorado St ,10.4
2009,Florida Tech ,10.4
2009,Cal. State - Los Angeles ,10.4
2009,St. Andrews Presbyterian ,10.3
2009,Urbana ,10.3
2009,Bridgewater (VA) ,10.3
2009,Albany State (GA) ,10.3
2009,Cleveland St ,10.2
2009,Cincinnati Christian ,10.2
2009,TX Christian ,10.1
2009,Montana Western ,10.1
2009,Texas College ,10.0
2009,Western State ,9.9
2009,Rutgers ,9.9
2009,U Mass ,9.8
2009,N Iowa ,9.8
2009,Dayton ,9.8
2009,St Josephs ,9.8
2009,S Illinois ,9.7
2009,Johnson & Wales U. (RI) ,9.7
2009,Georgia ,9.7
2009,Campbellsville ,9.7
2009,Oral Roberts ,9.7
2009,Charlotte ,9.7
2009,Duquesne ,9.6
2009,Creighton ,9.6
2009,Upper Iowa ,9.6
2009,Colorado ,9.5
2009,Trevecca Nazarene ,9.4
2009,Wright State ,9.4
2009,WI-Grn Bay ,9.4
2009,Marshall ,9.4
2009,Anderson (SC) ,9.4
2009,Chaminade ,9.4
2009,Mansfield ,9.3
2009,Central FL ,9.3
2009,Bradley ,9.2
2009,SUNY-Old Westbury ,9.2
2009,Spring Hill ,9.2
2009,Illinois St ,9.1
2009,Eastern Oregon ,9.1
2009,Siena ,9.1
2009,Grace Bible College ,9.1
2009,Davidson ,9.1
2009,Wichita St ,9.0
2009,S Mississippi ,8.9
2009,IU-SouthBend ,8.9
2009,Nevada ,8.8
2009,McMurry ,8.8
2009,North Park ,8.7
2009,Marian College ,8.7
2009,La Salle ,8.7
2009,Central Baptist ,8.6
2009,IL-Chicago ,8.6
2009,VCU ,8.6
2009,Indiana St ,8.6
2009,Auburn-Montgomery ,8.6
2009,Arkansas-Monticello ,8.6
2009,Seattle ,8.5
2009,Evansville ,8.5
2009,Concordia St. Paul ,8.5
2009,Rice ,8.5
2009,N Mex State ,8.5
2009,Missouri St ,8.5
2009, ,8.5
2009,Utah State ,8.5
2009,Richmond ,8.4
2009,Portland ,8.4
2009,Oakland ,8.4
2009,SIU Edward ,8.4
2009,Northeastrn ,8.4
2009,Wiley ,8.3
2009,West Alabama ,8.3
2009,Valparaiso ,8.3
2009,Evergreen State ,8.3
2009,Wyoming ,8.2
2009,Drake ,8.2
2009,Buffalo ,8.2
2009,Cal. State - Hayward ,8.1
2009,St. Xavier ,8.1
2009,Olivet Nazarene ,8.1
2009,Tennessee Temple ,8.1
2009,WI-Milwkee ,8.1
2009,Notre Dame (OH) ,8.1
2009,Kent State ,8.0
2009,S Methodist ,8.0
2009,Occidental ,8.0
2009, ,7.9
2009, ,7.9
2009,Santa Clara ,7.9
2009,TX A&M-CC ,7.9
2009,Cal Maritime ,7.9
2009,Piedmont ,7.9
2009,N Dakota St ,7.8
2009,Akron ,7.8
2009,Geo Wshgtn ,7.8
2009,Ferrum ,7.8
2009,Louisiana College ,7.7
2009,Ohio ,7.7
2009,Detroit ,7.7
2009,Sam Hous St ,7.7
2009,Idaho ,7.7
2009,E Carolina ,7.7
2009,San Diego ,7.6
2009, ,7.6
2009,Colorado Mesa ,7.6
2009,Idaho State ,7.6
2009,Geo Mason ,7.6
2009,Niagara ,7.4
2009,Lg Beach St ,7.4
2009,Northern New Mexico ,7.4
2009,Cal St Nrdge ,7.4
2009,Tulane ,7.3
2009,Ste F Austin ,7.3
2009,Saint Louis ,7.3
2009,W Kentucky ,7.2
2009,Rockhurst ,7.1
2009,Western Oregon ,7.0
2009,TX-Arlington ,7.0
2009,Centenary ,7.0
2009,Weber State ,7.0
2009,Haverford ,6.8
2009,Youngs St ,6.8
2009,Drexel ,6.8
2009,Boise State ,6.7
2009,San Fransco ,6.7
2009,Miles College ,6.7
2009,San Jose St ,6.6
2009,Old Dominion ,6.6
2009,Fresno St ,6.6
2009,Great Falls ,6.5
2009,IPFW ,6.5
2009,Fairfield ,6.5
2009,St. Gregorys ,6.5
2009,NC-Pembroke ,6.5
2009,Loyola-Chi ,6.4
2009,Southern Tech ,6.4
2009,Pacific ,6.4
2009,Coker ,6.4
2009,S Utah ,6.3
2009,Murray St ,6.3
2009,Limestone ,6.3
2009,Morehead St ,6.3
2009,Thiel College ,6.3
2009,Lamar ,6.3
2009,Manchester ,6.2
2009,Missouri Valley ,6.2
2009,William Jessup ,6.2
2009,Jacksonville ,6.2
2009,UCSB ,6.2
2009,Air Force ,6.1
2009,CS Fullerton ,6.1
2009,MIT ,6.1
2009,SE Louisiana ,6.1
2009,Loyola Mymt ,6.1
2009,LA Tech ,6.1
2009,Austin Peay ,6.1
2009,James Mad ,6.0
2009,S Dakota St ,6.0
2009,Loyola (LA) ,6.0
2009,St Bonavent ,5.9
2009,Bowling Grn ,5.9
2009,Belmont ,5.9
2009,Shawnee State ,5.8
2009,Paul Quinn ,5.8
2009,Presbyterian ,5.8
2009,Iona ,5.8
2009,North Texas ,5.8
2009,Loyola-MD ,5.8
2009,Portland St ,5.7
2009,N Arizona ,5.7
2009,IUPUI ,5.7
2009,Montreat ,5.7
2009,Hope ,5.7
2009,Toledo ,5.6
2009, ,5.5
2009,UC Irvine ,5.5
2009,Towson ,5.5
2009,Canisius ,5.4
2009,TN Martin ,5.4
2009,Daniel Webster ,5.4
2009,UMKC ,5.3
2009,Montana St ,5.3
2009,Hofstra ,5.3
2009,E Kentucky ,5.3
2009,CS Bakersfld ,5.3
2009,Aquinas ,5.3
2009,TN Tech ,5.3
2009,Pepperdine ,5.3
2009,Delaware ,5.3
2009,Fla Atlantic ,5.3
2009,Georgia St ,5.2
2009,Hawaii ,5.2
2009,E Tenn St ,5.2
2009,North Greenville ,5.2
2009,TX-San Ant ,5.2
2009,Brescia ,5.2
2009,Jksnville St ,5.2
2009,Radford ,5.1
2009,Middle Tenn ,5.1
2009,McNeese St ,5.0
2009,AR Lit Rock ,5.0
2009,Nicholls St ,5.0
2009,Winthrop ,5.0
2009,E Washingtn ,4.9
2009,Chattanooga ,4.9
2009,N Colorado ,4.9
2009,Mercer ,4.8
2009, ,4.8
2009,Montana ,4.8
2009,Huston-Tillotson ,4.8
2009,Southern Virginia ,4.8
2009,Wm & Mary ,4.8
2009,Catawba ,4.8
2009,Belmont Abbey ,4.8
2009,Col Charlestn ,4.8
2009,NC-Wilmgton ,4.8
2009,Gard-Webb ,4.8
2009,Texas State ,4.7
2009,Ursinus ,4.7
2009, ,4.7
2009,Fordham ,4.7
2009,Sac State ,4.7
2009,UC Davis ,4.7
2009,Florida Memorial ,4.7
2009,Marist ,4.7
2009,LA Lafayette ,4.6
2009,W Michigan ,4.6
2009,Ball State ,4.6
2009,Rider ,4.6
2009,UC Riverside ,4.5
2009,Cornell ,4.4
2009,Vermont ,4.4
2009,Dillard ,4.4
2009,Florida Intl ,4.4
2009,TN State ,4.4
2009,Troy ,4.3
2009,Arkansas St ,4.3
2009,Erskine ,4.3
2009,Wofford ,4.3
2009,LA Monroe ,4.2
2009,E Illinois ,4.2
2009,Liberty ,4.2
2009,Cal Poly ,4.2
2009,Denver ,4.2
2009,S Alabama ,4.1
2009,West Virginia Tech ,4.1
2009, ,4.1
2009,Central Mich ,4.1
2009,Sonoma State ,4.1
2009,Lipscomb ,4.0
2009,SC Upstate ,4.0
2009,E Michigan ,3.9
2009,Manhattan ,3.9
2009,VA Military ,3.9
2009,Cumberland ,3.9
2009,Boston U ,3.8
2009,W Carolina ,3.8
2009,NC-Asheville ,3.8
2009,App State ,3.8
2009,Indiana East ,3.6
2009,Mt St Marys ,3.6
2009,American ,3.6
2009,Morgan St ,3.6
2009,W Illinois ,3.6
2009,Stetson ,3.5
2009, ,3.5
2009,St Peters ,3.4
2009,GA Southern ,3.4
2009,Lees-McRae ,3.4
2009,Texas A&M - International ,3.4
2009,NC-Grnsboro ,3.4
2009, ,3.3
2009,Citadel ,3.3
2009,Albany ,3.2
2009,Samford ,3.2
2009,Holy Cross ,3.1
2009,Allen ,3.1
2009,New Orleans ,3.1
2009,U Penn ,3.1
2009,Rob Morris ,3.0
2009,Elon ,3.0
2009,Maryland BC ,2.9
2009,N Illinois ,2.9
2009,Binghamton ,2.8
2009,Merchant Marine Academy ,2.7
2009,Eureka ,2.7
2009,Colorado-Colorado Springs ,2.7
2009,Campbell ,2.7
2009,Bucknell ,2.6
2009,Coastal Car ,2.6
2009,Yale ,2.6
2009,Ecclesia College ,2.5
2009,Schreiner ,2.5
2009,SE Missouri ,2.4
2009,Morris College ,2.4
2009,Hartford ,2.4
2009,Houston Bap ,2.4
2009,Edward Waters ,2.3
2009,Harvard ,2.3
2009,Coppin State ,2.2
2009,N Hampshire ,2.2
2009,Brewton Parker College ,2.1
2009,High Point ,2.1
2009,Central Ark ,2.1
2009,Maine ,2.0
2009,Sacred Hrt ,1.9
2009,Webber ,1.8
2009,Mayville State ,1.8
2009,Reinhardt ,1.7
2009, ,1.7
2009,Brown ,1.6
2009,Chicago St ,1.6
2009,Stony Brook ,1.6
2009,Utah Val St ,1.6
2009,Charl South ,1.5
2009,Navy ,1.5
2009,Furman ,1.5
2009,Fla Gulf Cst ,1.5
2009,Jackson St ,1.5
2009,Lyon ,1.4
2009,Berry College ,1.4
2009,N Florida ,1.3
2009,Oakland City ,1.3
2009,Lafayette ,1.3
2009,NW State ,1.3
2009,Tennessee Wesleyan ,1.2
2009,William Woods ,1.2
2009,Bacone ,1.2
2009,Hampton ,1.1
2009,Cal. State - Monterey Bay ,1.1
2009,St Fran (NY) ,1.0
2009,Delaware St ,0.9
2009,Cheyney ,0.8
2009,Colgate ,0.8
2009,Wilmington (DE) ,0.8
2009,SW Assemblies of God ,0.7
2009,Central Conn ,0.7
2009,Mount Ida College ,0.7
2009,Champion Baptist ,0.6
2009,Columbia ,0.5
2009,Suffolk ,0.5
2009,Alabama St ,0.5
2009,Princeton ,0.4
2009,Army ,0.4
2009, ,0.3
2009,St Fran (PA) ,0.3
2009,Lehigh ,0.1
2009,William Carey ,-0.0
2009,F Dickinson ,-0.0
2009,Dartmouth ,-0.2
2009,Kentucky Christian ,-0.2
2009,Howard ,-0.2
2009,Quinnipiac ,-0.3
2009,Bryant ,-0.3
2009,LIU-Brooklyn ,-0.3
2009,Florida A&M ,-0.4
2009,Tuskegee ,-0.4
2009,NC A&T ,-0.4
2009,Kennesaw St ,-0.5
2009,Virginia-Wise ,-0.5
2009,Ark Pine Bl ,-0.5
2009,Savannah St ,-0.5
2009,Sul Ross St. ,-0.5
2009,Monmouth ,-0.6
2009, ,-0.7
2009,Norfolk St ,-0.7
2009,Maryville (MO) ,-0.8
2009,Beth-Cook ,-0.8
2009,TX Southern ,-0.9
2009,Wagner ,-0.9
2009,Miss Val St ,-1.2
2009, ,-1.2
2009,Talledega ,-1.2
2009,S Car State ,-1.3
2009,Prairie View ,-1.3
2009,LSU Shreveport ,-1.3
2009,East Texas Baptist ,-1.3
2009,Toccoa Falls ,-1.5
2009,Emory ,-1.6
2009,Alaska - Anchorage ,-1.6
2009,NC Central ,-2.2
2009,Wins-Salem ,-2.3
2009,Longwood ,-2.3
2009,TX-Pan Am ,-2.4
2009,Covenant ,-2.7
2009, ,-2.8
2009,Chowan ,-2.8
2009,Southern ,-3.2
2009,Culver-Stockton ,-3.2
2009,NJIT ,-3.3
2009,Haskell ,-3.4
2009,Maryland ES ,-3.4
2009,Southern-New Orleans ,-4.0
2009,Alcorn State ,-4.1
2009,Palm Beach Atlantic ,-4.3
2009,Grambling St ,-4.4
2009, ,-4.4
2009,Averett ,-4.7
2009,Washington Adventist ,-4.7
2009,Alab A&M ,-4.8
2009,Milligan ,-5.1
2009,Oakwood ,-5.1
2009,Carver Bible College ,-6.1
2009,Tougaloo ,-6.9
2009,Union College (KY) ,-7.0
2009,East Central ,-7.2
2009, ,-9.9
2009,Central State (OH) ,-10.0
2009,Marygrove College ,-10.2
2010,Fort Hays State ,29.5
2010,Angelo State ,26.2
2010,UC San Diego ,23.3
2010, ,20.7
2010,Duke ,20.4
2010,St. Mary's (TX) ,20.4
2010,Kansas ,20.1
2010,Evergreen State ,19.1
2010,Lewis & Clark ,19.1
2010,Western Oregon ,19.0
2010,Fresno Pacific ,18.8
2010,Wisconsin ,18.7
2010,Maryland ,18.7
2010,W Virginia ,18.6
2010,Villanova ,18.4
2010,Kansas St ,18.3
2010,Texas A&M ,18.3
2010,Pomona-Pitzer ,18.3
2010,Texas ,18.3
2010,Ohio State ,18.3
2010,Clemson ,18.2
2010,Florida St ,18.2
2010,Georgetown ,18.1
2010, ,18.0
2010,LeTourneau ,18.0
2010,N Carolina ,17.9
2010,Missouri ,17.8
2010,Purdue ,17.7
2010,Baylor ,17.7
2010,Syracuse ,17.7
2010, ,17.4
2010,Wake Forest ,17.4
2010,Marquette ,17.4
2010,GA Tech ,17.3
2010,Michigan St ,17.3
2010,Indiana East ,17.2
2010, ,17.1
2010,California ,17.1
2010,Tennessee ,17.0
2010,Missouri-St.Louis ,16.9
2010,Eastern New Mexico ,16.9
2010, ,16.8
2010,Connecticut ,16.8
2010,Louisville ,16.8
2010,Illinois ,16.8
2010, ,16.7
2010,Rockhurst ,16.7
2010,Minnesota ,16.6
2010,Vanderbilt ,16.5
2010,Dillard ,16.2
2010,Oklahoma St ,16.2
2010,Cincinnati ,16.2
2010,Pittsburgh ,16.2
2010,MIT ,16.2
2010,Cal Maritime ,16.2
2010,Florida ,16.2
2010,Boston Col ,16.1
2010,Michigan ,16.1
2010,Kentucky ,15.9
2010,VA Tech ,15.8
2010,Malone ,15.8
2010,St Johns ,15.8
2010,Iowa State ,15.7
2010,S Carolina ,15.5
2010,Texas Tech ,15.5
2010,Xavier ,15.5
2010,Arizona ,15.5
2010,Virginia ,15.5
2010,Oklahoma ,15.4
2010,Seton Hall ,15.4
2010,NC State ,15.4
2010,Northern Michigan ,15.4
2010,Georgia ,15.4
2010,Mississippi ,15.4
2010,BYU ,15.3
2010,Johnson & Wales U. (RI) ,15.3
2010,Providence ,15.2
2010, ,15.2
2010,St. Catharine ,15.1
2010,Arizona St ,15.0
2010,Miami (FL) ,14.8
2010,USC ,14.7
2010,Washington ,14.7
2010,Penn State ,14.7
2010,Alabama ,14.6
2010,Notre Dame ,14.5
2010,Colorado ,14.5
2010,Rio Grande ,14.4
2010,Ohio Valley ,14.4
2010,Concordia St. Paul ,14.3
2010,Hillsdale ,14.3
2010,Miss State ,14.2
2010,S Florida ,14.2
2010,Nebraska ,14.0
2010,Northwestern ,13.9
2010, ,13.9
2010,Gonzaga ,13.9
2010,Temple ,13.8
2010,Chaminade ,13.7
2010,King College ,13.7
2010,Nebraska-Kearney ,13.7
2010,San Diego St ,13.7
2010,UCLA ,13.7
2010,William Carey ,13.6
2010,New Mexico ,13.6
2010,NW Oklahoma State ,13.6
2010,UNLV ,13.6
2010,Eastern Oregon ,13.6
2010,Lewis-Clark St. ,13.6
2010,Stanford ,13.5
2010,Wilmington (OH) ,13.4
2010,Cumberland ,13.4
2010,Memphis ,13.3
2010, ,13.3
2010,Richmond ,13.3
2010,Cal. State - Monterey Bay ,13.3
2010,Butler ,13.2
2010,Dayton ,13.2
2010, ,13.2
2010,TX El Paso ,13.1
2010,Cal. State - Los Angeles ,13.0
2010,Iowa ,13.0
2010,IU-SouthBend ,12.9
2010,Arkansas ,12.9
2010,Indiana ,12.9
2010,St. Edwards ,12.9
2010,Kentucky State ,12.9
2010,Auburn ,12.7
2010,UAB ,12.6
2010,DePaul ,12.6
2010,San Francisco State ,12.6
2010,Old Dominion ,12.5
2010,Oregon ,12.5
2010,Wash State ,12.4
2010,Tulsa ,12.4
2010,East Central ,12.3
2010,St Marys ,12.2
2010,Millsaps ,12.2
2010, ,12.1
2010,Newberry ,12.1
2010, ,12.1
2010,Nevada ,12.0
2010,Cameron ,12.0
2010,Oregon St ,11.9
2010,Utah ,11.9
2010,Rhode Island ,11.8
2010,Caldwell ,11.8
2010, ,11.8
2010,Utah State ,11.7
2010,Farmingdale State ,11.7
2010,LSU ,11.6
2010,Charlotte ,11.6
2010,Marshall ,11.6
2010,Houston ,11.5
2010,N Iowa ,11.4
2010,Bradley ,11.3
2010,Northeastrn ,11.2
2010,Marian College ,11.2
2010,Panhandle State ,11.2
2010,Rutgers ,11.1
2010,Voorhees ,11.1
2010, ,11.1
2010,Wright State ,11.1
2010,Wichita St ,10.9
2010,Portland ,10.9
2010,Willamette ,10.9
2010,Linfield College ,10.9
2010,Creighton ,10.8
2010,Wm & Mary ,10.8
2010,Eureka ,10.8
2010,Mount Saint Mary College ,10.6
2010,Colorado St ,10.6
2010, ,10.6
2010,Central Baptist ,10.5
2010,Saint Louis ,10.4
2010,Hope ,10.4
2010,Roanoke ,10.4
2010,Indiana St ,10.4
2010,Missouri St ,10.4
2010,St Josephs ,10.4
2010,Kenyon ,10.4
2010,VCU ,10.3
2010,U Mass ,10.3
2010,Ferris State ,10.2
2010,Miami (OH) ,10.2
2010,Nova Southeastern ,10.2
2010,N Mex State ,10.2
2010,Michigan-Dearborn ,10.1
2010,Western State ,10.1
2010,LA Tech ,10.0
2010,Point Loma ,9.9
2010,Warner Southern ,9.9
2010,Florida Tech ,9.9
2010,Lg Beach St ,9.9
2010,Duquesne ,9.9
2010,Southwest State ,9.8
2010,Kent State ,9.8
2010,Montana Tech ,9.8
2010,Geo Wshgtn ,9.8
2010,Drake ,9.7
2010,Illinois St ,9.7
2010,Northwood (MI) ,9.7
2010, ,9.7
2010,S Mississippi ,9.7
2010,TX Christian ,9.6
2010,Oakland City ,9.6
2010,S Illinois ,9.6
2010, ,9.5
2010,Midland Lutheran ,9.5
2010,Central FL ,9.5
2010,Colorado Christian ,9.5
2010,Limestone ,9.5
2010, ,9.5
2010,La Salle ,9.5
2010,St Bonavent ,9.5
2010,S Methodist ,9.5
2010,San Diego ,9.4
2010,New Jersey ,9.4
2010,Fredonia St. ,9.4
2010,Cleveland St ,9.3
2010,Siena ,9.3
2010,Huston-Tillotson ,9.2
2010,Idaho ,9.1
2010,Texas A&M - International ,9.1
2010,Weber State ,9.1
2010,Fresno St ,9.1
2010,Vassar College ,9.0
2010,Cornell ,9.0
2010,St. Francis (IL) ,9.0
2010,San Jose St ,9.0
2010,NC-Wilmgton ,9.0
2010,Great Falls ,9.0
2010,St. Ambrose ,9.0
2010,WI-Milwkee ,8.9
2010,Drexel ,8.9
2010,Loyola (LA) ,8.9
2010,San Fransco ,8.9
2010,Tulane ,8.8
2010,Oral Roberts ,8.8
2010,Geo Mason ,8.7
2010, ,8.7
2010,St. Andrews Presbyterian ,8.7
2010,Madonna ,8.7
2010,Brescia ,8.7
2010,Berry College ,8.7
2010,Oakland ,8.5
2010,Ohio ,8.5
2010,Wyoming ,8.5
2010,Dominican (CA) ,8.4
2010,Wofford ,8.4
2010,Howard Payne ,8.3
2010,Texas Lutheran ,8.3
2010,IUPUI ,8.3
2010,Valparaiso ,8.3
2010,Loyola Mymt ,8.3
2010,Shawnee State ,8.2
2010,Pacific ,8.2
2010,WI-Grn Bay ,8.1
2010,Bridgewater (VA) ,8.1
2010,Murray St ,8.1
2010,E Carolina ,8.1
2010,Portland St ,8.1
2010,Hofstra ,8.1
2010,Iona ,8.1
2010,Detroit ,8.1
2010,UC Santa Cruz ,8.0
2010,Texas-Permian Basin ,8.0
2010,Texas-Dallas ,8.0
2010,Dallas Baptist ,8.0
2010,Texas Wesleyan ,8.0
2010,Evansville ,8.0
2010,IL-Chicago ,8.0
2010,Hiram College ,8.0
2010,W Kentucky ,8.0
2010,Morehead St ,8.0
2010,W Michigan ,7.9
2010,Boise State ,7.8
2010,North Georgia ,7.8
2010,Akron ,7.7
2010,Fordham ,7.7
2010,Manchester ,7.7
2010,Hardin-Simmons ,7.7
2010,Alma College ,7.7
2010,McMurry ,7.6
2010,Niagara ,7.6
2010,Col Charlestn ,7.6
2010,UCSB ,7.6
2010,La Verne ,7.6
2010,Minot State ,7.6
2010,Delaware ,7.6
2010,Montana ,7.6
2010,Sam Hous St ,7.5
2010,Geneva ,7.5
2010,Occidental ,7.5
2010,TX A&M-CC ,7.3
2010,Arkansas-Monticello ,7.3
2010,Cal St Nrdge ,7.3
2010,NC-Grnsboro ,7.3
2010,Austin Peay ,7.2
2010,E Tenn St ,7.2
2010,Bowling Grn ,7.2
2010,Loyola-Chi ,7.1
2010,Air Force ,7.1
2010,Hawaii ,7.1
2010,Davidson ,7.1
2010,Spring Hill ,7.0
2010,Rider ,7.0
2010,Pepperdine ,7.0
2010,Rice ,7.0
2010,Fairfield ,7.0
2010,Idaho State ,6.9
2010,Youngs St ,6.9
2010,Buffalo ,6.9
2010,Troy ,6.9
2010,Harvard ,6.8
2010,TN State ,6.8
2010,Seattle ,6.8
2010,Santa Clara ,6.8
2010,Montana St ,6.7
